player,games,minutes,points,rebds.,assists,steals,blocks,salary,slry/pts.,slry/rbds,slry/asts,slry/stls,slry/blks
Russell Westbrook,82,2788,2599,869,844,133,32,28530608,10977,32831,33804,214515,891581
James Harden,82,2952,2369,664,918,121,41,28299399,11945,42619,30827,233879,690229
Isaiah Thomas,77,2541,2217,207,454,70,15,6261395,2824,30248,13791,89448,417426
Anthony Davis,76,2736,2150,896,159,96,167,23775506,11058,26535,149531,247661,142368
Karl-Anthony Towns,82,2952,2058,1008,221,56,106,6216840,3020,6167,28130,111015,58649
DeMar DeRozan,75,2625,2032,390,292,80,15,27739975,13651,71128,94999,346749,1849331
Damian Lillard,75,2625,2025,367,442,68,22,26153057,12915,71261,59169,384603,1188775
Stephen Curry,80,2640,2024,360,528,143,16,34682550,17135,96340,65686,242535,2167659
LeBron James,75,2775,1980,645,645,92,45,33285709,16810,51605,51605,361801,739682
DeMarcus Cousins,73,2409,1941,795,328,101,94,18063850,9306,22721,55072,178850,192168
Andrew Wiggins,82,3034,1935,328,188,82,32,7574323,3914,23092,40288,92369,236697
Kawhi Leonard,75,2475,1890,435,262,134,52,18868625,9983,43376,72017,140810,362858
Giannis Antetokounmpo,81,2835,1863,704,437,134,153,22471910,12062,31920,51423,167700,146875
Kyrie Irving,73,2482,1839,233,430,86,21,18868625,10260,80981,43880,219402,898505
Kemba Walker,80,2720,1840,312,440,86,24,12000000,6521,38461,27272,139534,500000
C.J. McCollum,80,2720,1840,288,288,72,40,23962572,13023,83203,83203,332813,599064
Jimmy Butler,77,2772,1824,469,415,144,30,19301070,10581,41153,46508,134035,643369
John Wall,79,2844,1817,331,837,161,47,18063850,9941,54573,21581,112197,384337
Paul George,76,2660,1786,494,250,119,30,19508958,10923,39491,78035,163940,650298
Bradley Beal,77,2618,1778,238,269,83,23,23775506,13372,99897,88384,286451,1033717
Klay Thompson,79,2607,1753,284,165,66,39,17826150,10168,62768,108037,270093,457080
Devin Booker,78,2730,1723,249,265,72,23,2319360,1346,9314,8752,32213,100841
Carmelo Anthony,75,2550,1672,442,210,60,37,26243760,15696,59375,124970,437396,709290
Gordon Hayward,74,2516,1605,392,251,77,22,29727900,18522,75836,118437,386076,1351268
Kevin Durant,63,2079,1575,522,308,68,100,25000000,15873,47892,81168,367647,250000
Brook Lopez,75,2175,1537,405,172,38,127,22642350,14731,55907,131641,595851,178286
Harrison Barnes,79,2765,1516,395,118,65,15,23112004,15245,58511,195864,355569,1540800
Goran Dragic,73,2409,1481,277,423,89,14,17000450,11479,61373,40190,191016,1214317
Marc Gasol,75,2475,1455,472,345,68,97,22642350,15561,47971,65630,332975,233426
Mike Conley,69,2277,1414,241,434,92,20,28530608,20177,118384,65738,310115,1426530
Eric Bledsoe,66,2178,1392,316,415,91,33,14500000,10416,45886,34939,159340,439393
Kyle Lowry,61,2257,1360,286,414,90,18,28703704,21105,100362,69332,318930,1594650
Tobias Harris,82,2542,1320,418,139,60,41,16000000,12121,38277,115107,266666,390243
Blake Griffin,61,2074,1317,494,298,57,24,29512900,22409,59742,99036,517770,1229704
Hassan Whiteside,77,2464,1309,1085,53,57,161,23775506,18163,21912,448594,417114,147673
Jeff Teague,82,2624,1254,328,639,100,32,19000000,15151,57926,29733,190000,593750
Paul Millsap,70,2310,1253,539,252,91,63,31269231,24955,58013,124084,343617,496337
LaMarcus Aldridge,72,2304,1245,525,136,46,86,21461010,17237,40878,157801,466543,249546
Nikola Jokic,73,1971,1219,715,357,61,58,1471382,1207,2057,4121,24121,25368
Eric Gordon,75,2250,1215,202,187,48,37,12943020,10652,64074,69214,269646,349811
Jordan Clarkson,82,2378,1205,246,213,88,8,11562500,9595,47002,54284,131392,1445312
Kristaps Porzingis,66,2112,1194,475,99,47,132,4503600,3771,9481,45490,95821,34118
Myles Turner,81,2511,1174,591,105,74,170,2569920,2189,4348,24475,34728,15117
Serge Ibaka,79,2370,1169,537,71,41,126,20061728,17161,37358,282559,489310,159220
J.J. Redick,78,2184,1170,171,109,54,15,23000000,19658,134502,211009,425925,1533333
Evan Fournier,69,2208,1166,207,200,66,6,17000000,14579,82125,85000,257575,2833333
Nicolas Batum,77,2618,1162,477,454,86,30,22434783,19307,47033,49415,260869,747826
Derrick Rose,64,2048,1152,243,281,44,19,1471382,1277,6055,5236,33440,77441
Danilo Gallinari,63,2079,1146,327,132,40,12,20559599,17940,62873,155754,513989,1713299
Kevin Love,60,1860,1140,666,114,53,24,22642350,19861,33997,198617,427214,943431
Rudy Gobert,81,2673,1134,1036,97,49,210,21974719,19378,21211,226543,448463,104641
Wilson Chandler,71,2130,1114,461,142,51,28,12016854,10787,26066,84625,235624,429173
Bojan Bogdanovic,81,2025,1109,275,113,34,8,10500000,9467,38181,92920,308823,1312500
Andre Drummond,81,2349,1101,1117,89,124,89,23775506,21594,21285,267140,191737,267140
Marcus Morris,79,2528,1106,363,158,52,23,5000000,4520,13774,31645,96153,217391
Chris Paul,61,1891,1104,305,561,119,6,24599459,22282,80653,43849,206718,4099909
Dwyane Wade,60,1740,1098,270,228,86,42,1471382,1340,5449,6453,17109,35032
Nikola Vucevic,75,2100,1095,780,210,76,75,12250000,11187,15705,58333,161184,163333
Ersan Ilyasova,82,2132,1074,483,139,58,24,6000000,5586,12422,43165,103448,250000
Victor Oladipo,67,2211,1065,288,174,78,20,21000000,19718,72916,120689,269230,1050000
Markieff Morris,76,2356,1064,494,129,82,45,8000000,7518,16194,62015,97560,177777
Kentavious Caldwell-Pope,76,2508,1048,250,190,89,15,17745894,16933,70983,93399,199392,1183059
Elfrid Payton,82,2378,1049,385,533,88,41,3332340,3176,8655,6252,37867,81276
Dario Saric,81,2106,1036,510,178,57,32,2422560,2338,4750,13609,42501,75705
DeAndre Jordan,82,2542,1033,1115,98,51,131,22642350,21919,20307,231044,443967,172842
Enes Kanter,72,1512,1029,482,64,32,36,20566801,19987,42669,321356,642712,571300
