player,games,minutes,points,rebds.,assists,steals,blocks,salary,slry/pts.,slry/rbds,slry/asts,slry/stls,slry/blks
Tina Charles,34,1094,669,319,88,0,23,105000,156,329,1193,N/A,4565
Breanna Stewart,33,1085,656,287,89,1,52,105000,160,365,1179,105000,2019
Sylvia Fowles,34,1047,642,353,51,1,68,105000,163,297,2058,105000,1544
Nneka Ogwumike,34,1054,639,261,71,1,17,105000,164,402,1478,105000,6176
Skylar Diggins-Smith,34,1162,629,119,197,1,27,105000,166,882,532,105000,3888
Jewell Loyd,34,1057,601,108,115,1,13,105000,174,972,913,105000,8076
Maya Moore,34,1064,588,170,119,1,13,105000,178,617,882,105000,8076
Brittney Griner,26,819,569,197,49,0,65,105000,184,532,2142,N/A,1615
Candace Parker,33,1013,557,277,141,1,56,105000,188,379,744,105000,1875
Diana Taurasi,31,883,554,93,83,0,9,105000,189,1129,1265,N/A,11666
Tiffany Hayes,33,996,537,125,79,1,6,105000,195,840,1329,105000,17500
Jonquel Jones,34,969,523,401,51,0,47,105000,200,261,2058,N/A,2234
Allie Quigley,31,1001,508,102,111,0,15,105000,206,1029,945,N/A,7000
Chelsea Gray,34,1132,503,112,149,1,6,105000,208,937,704,105000,17500
Candice Dupree,33,1049,495,191,52,0,16,105000,212,549,2019,N/A,6562
Glory Johnson,33,1023,491,300,52,1,13,105000,213,350,2019,105000,8076
Elena Delle Donne,25,757,492,170,40,0,35,105000,213,617,2625,N/A,3000
Alyssa Thomas,33,983,488,224,148,1,13,105000,215,468,709,105000,8076
Stefanie Dolson,33,966,478,191,85,0,42,105000,219,549,1235,N/A,2500
Brittney Sykes,34,870,472,139,64,0,17,105000,222,755,1640,N/A,6176
Kayla McBride,30,996,462,122,78,1,6,105000,227,860,1346,105000,17500
Jasmine Thomas,32,896,454,76,131,1,3,105000,231,1381,801,105000,35000
Allisha Gray,34,924,442,132,44,1,20,105000,237,795,2386,105000,5250
Crystal Langhorne,34,965,421,207,51,0,13,105000,249,507,2058,N/A,8076
Courtney Williams,34,884,418,142,71,0,6,105000,251,739,1478,N/A,17500
